-1.9888	-1.9764	-7.0E-4	-0.0013	-0.0019	-0.0046	-0.0089	-0.0113	-0.013	-0.0138	-0.0135	-0.0072	0.0	0.0064	0.0123	0.016	0.014	0.0125	0.008	0.0037	0.0019	0.0013	8.0E-4
-1.9066	-1.8447	-9.0E-4	-0.0018	-0.0023	-0.006	-0.0129	-0.0167	-0.0208	-0.0216	-0.0156	-0.0097	0.0	0.0099	0.0179	0.0207	0.0175	0.0149	0.0106	0.006	0.003	0.0019	0.0011
-1.7202	-1.7458	-0.0018	-0.0035	-0.0051	-0.013	-0.0252	-0.0304	-0.0378	-0.0452	-0.0326	-0.0216	0.0	0.0193	0.0323	0.0411	0.0355	0.0339	0.0187	0.0106	0.0054	0.0038	0.0019
-1.4482	-1.4458	-0.0048	-0.008	-0.0112	-0.028	-0.0558	-0.0782	-0.0931	-0.0893	-0.0755	-0.0441	0.0	0.0467	0.0776	0.0884	0.0811	0.0675	0.0501	0.0282	0.0145	0.0096	0.0048
-1.0969	-1.144	-0.0111	-0.0191	-0.0262	-0.0675	-0.1516	-0.1678	-0.2242	-0.2244	-0.1748	-0.1214	0.0	0.0954	0.1971	0.2188	0.2215	0.1716	0.1091	0.0583	0.0315	0.0234	0.0127
-0.9249	-1.0446	-0.0164	-0.0259	-0.0394	-0.1133	-0.2139	-0.2349	-0.3279	-0.3504	-0.2696	-0.1523	0.0	0.1554	0.2745	0.3118	0.2746	0.2576	0.1516	0.0895	0.0495	0.0293	0.0175
-0.7881	-0.8098	-0.0213	-0.0321	-0.0478	-0.1364	-0.2498	-0.3324	-0.3898	-0.4253	-0.3658	-0.2148	0.0	0.1796	0.3541	0.4016	0.367	0.2995	0.1848	0.1222	0.063	0.0403	0.0211
-0.6339	-0.6568	-0.0256	-0.0397	-0.0588	-0.1774	-0.3549	-0.3791	-0.4778	-0.5417	-0.4435	-0.2308	0.0	0.2363	0.4556	0.4772	0.5182	0.4373	0.2344	0.1378	0.07	0.0526	0.0287
-0.4071	-0.3841	-0.0328	-0.0563	-0.0814	-0.2002	-0.4361	-0.4584	-0.67	-0.6173	-0.5991	-0.3303	0.0	0.2799	0.5853	0.6203	0.5691	0.5002	0.3412	0.1896	0.0902	0.0645	0.0334
-0.1989	-0.1999	-0.0338	-0.0661	-0.0931	-0.2584	-0.4431	-0.5265	-0.6955	-0.8009	-0.6051	-0.3744	0.0	0.3417	0.5912	0.7667	0.6171	0.6151	0.3555	0.2101	0.1138	0.0717	0.0387
0.0	0.0	-0.0364	-0.0686	-0.0964	-0.2456	-0.479	-0.6023	-0.6915	-0.7215	-0.6944	-0.3931	0.0	0.3464	0.6299	0.7202	0.6531	0.6245	0.354	0.2108	0.0977	0.0682	0.0396
0.1872	0.183	-0.0368	-0.0619	-0.0921	-0.2227	-0.4405	-0.5073	-0.7897	-0.7959	-0.6311	-0.3533	0.0	0.3638	0.6195	0.6737	0.746	0.5244	0.3785	0.214	0.1052	0.0715	0.0372
0.4345	0.3689	-0.0302	-0.0535	-0.0726	-0.2131	-0.3839	-0.4424	-0.6717	-0.6991	-0.5763	-0.2899	0.0	0.2721	0.5558	0.6684	0.6211	0.5248	0.2877	0.1773	0.0969	0.0598	0.0334
0.6109	0.549	-0.0242	-0.0483	-0.0654	-0.1848	-0.3076	-0.375	-0.5196	-0.5616	-0.431	-0.2705	0.0	0.2593	0.4371	0.55	0.4657	0.3832	0.2384	0.1555	0.0784	0.0491	0.0293
0.801	0.8794	-0.0178	-0.0314	-0.0467	-0.1183	-0.2772	-0.2848	-0.405	-0.42	-0.3194	-0.2113	0.0	0.1724	0.3284	0.4213	0.3579	0.3249	0.2184	0.1118	0.0593	0.041	0.0232
0.9437	1.0199	-0.0156	-0.0288	-0.0358	-0.1009	-0.207	-0.2527	-0.3035	-0.2966	-0.2664	-0.1452	0.0	0.1501	0.2392	0.335	0.2656	0.2628	0.168	0.0808	0.0455	0.0269	0.0181
1.3085	1.2694	-0.0062	-0.0109	-0.0172	-0.0458	-0.0927	-0.1049	-0.1396	-0.1299	-0.1096	-0.0723	0.0	0.0667	0.1216	0.1282	0.1308	0.1135	0.0698	0.0358	0.0212	0.0131	0.0079
1.3614	1.5012	-0.006	-0.0106	-0.0138	-0.0354	-0.0789	-0.0823	-0.1069	-0.1147	-0.1078	-0.0583	0.0	0.0537	0.0922	0.1276	0.1076	0.0909	0.0624	0.0334	0.0179	0.0106	0.0061
1.5867	1.7047	-0.003	-0.0052	-0.0074	-0.0191	-0.0434	-0.0446	-0.0614	-0.0621	-0.0502	-0.0278	0.0	0.0306	0.05	0.0667	0.0625	0.0474	0.0289	0.0158	0.0084	0.0059	0.0035
1.9191	1.8143	-0.001	-0.0015	-0.0024	-0.0063	-0.0118	-0.0132	-0.0181	-0.0212	-0.0175	-0.0105	0.0	0.0093	0.0145	0.0199	0.019	0.0161	0.0097	0.005	0.0029	0.0017	9.0E-4
2.1163	1.9573	-4.0E-4	-7.0E-4	-0.001	-0.003	-0.0053	-0.0071	-0.0078	-0.0085	-0.0067	-0.0045	0.0	0.0043	0.0077	0.0093	0.0089	0.0072	0.0042	0.0022	0.0013	8.0E-4	5.0E-4
